,Unnamed: 0,Producer,time,bandwidth,input-load,input-packet-rate,input-data-rate,interface-name,load-interval,output-data-rate,output-load,output-packet-rate,peak-input-data-rate,peak-input-packet-rate,peak-output-data-rate,peak-output-packet-rate,reliability
53000,61327,dr03,1501867419738000000,40000000,114,981836.0,17938864.0,FortyGigE0/1/0/31,9,22346762.0,142,1155181.0,0,0,0,0,255
53001,61328,leaf8,1501867420165000000,0,0,0.0,0.0,Null0,9,0.0,0,0.0,0,0,0,0,255
53002,61329,leaf8,1501867420168000000,1000000,0,6.0,8.0,MgmtEth0/RP0/CPU0/0,9,10.0,0,5.0,0,0,0,0,254
53003,61330,leaf8,1501867420170000000,100000000,0,0.0,0.0,HundredGigE0/0/0/0,0,0.0,0,0.0,0,0,0,0,255
53004,61331,leaf8,1501867420172000000,100000000,0,0.0,0.0,HundredGigE0/0/0/1,0,0.0,0,0.0,0,0,0,0,255
53005,61332,leaf8,1501867420175000000,100000000,0,0.0,0.0,HundredGigE0/0/0/2,0,0.0,0,0.0,0,0,0,0,255
53006,61333,leaf8,1501867420177000000,100000000,0,0.0,0.0,HundredGigE0/0/0/3,0,0.0,0,0.0,0,0,0,0,255
53007,61334,leaf8,1501867420179000000,100000000,31,1094367.0,12274044.0,HundredGigE0/0/0/4,0,13238917.0,33,1136627.0,0,0,0,0,255
53008,61335,leaf8,1501867420181000000,100000000,52,1754674.0,20577126.0,HundredGigE0/0/0/5,0,13196650.0,33,1136707.0,0,0,0,0,255
53009,61336,leaf8,1501867420184000000,100000000,47,1653938.0,18821746.0,HundredGigE0/0/0/6,0,10883094.0,27,967168.0,0,0,0,0,255
53010,61337,leaf8,1501867420186000000,100000000,44,1536793.0,17438228.0,HundredGigE0/0/0/7,0,7308529.0,18,663884.0,0,0,0,0,255
53011,61338,leaf8,1501867420189000000,100000000,25,878512.0,10118079.0,HundredGigE0/0/0/8,0,5758737.0,14,567041.0,0,0,0,0,255
53012,61339,leaf8,1501867420191000000,100000000,14,520471.0,5839976.0,HundredGigE0/0/0/9,0,8063379.0,20,716383.0,0,0,0,0,255
53013,61340,leaf8,1501867420193000000,100000000,24,840478.0,9623192.0,HundredGigE0/0/0/10,0,13785763.0,35,1190112.0,0,0,0,0,255
53014,61341,leaf8,1501867420195000000,100000000,26,870038.0,10324543.0,HundredGigE0/0/0/11,0,13806210.0,35,1167213.0,0,0,0,0,255
53015,61342,leaf8,1501867420198000000,100000000,21,728473.0,8408980.0,HundredGigE0/0/0/12,0,9180003.0,23,831254.0,0,0,0,0,255
53016,61343,leaf8,1501867420200000000,100000000,36,1187948.0,14146106.0,HundredGigE0/0/0/13,0,6477240.0,16,581226.0,0,0,0,0,255
53017,61344,leaf8,1501867420203000000,100000000,12,444143.0,5047910.0,HundredGigE0/0/0/14,0,11077286.0,28,988797.0,0,0,0,0,255
53018,61345,leaf8,1501867420205000000,100000000,29,1007302.0,11700614.0,HundredGigE0/0/0/15,0,8449764.0,21,725143.0,0,0,0,0,255
53019,61346,leaf8,1501867420207000000,100000000,31,1072444.0,12470162.0,HundredGigE0/0/0/16,0,17107576.0,43,1502955.0,0,0,0,0,255
53020,61347,leaf8,1501867420210000000,100000000,18,663318.0,7327848.0,HundredGigE0/0/0/17,0,11569491.0,29,1022738.0,0,0,0,0,255
53021,61348,leaf8,1501867420212000000,100000000,24,810671.0,9502397.0,HundredGigE0/0/0/18,0,6260333.0,15,599978.0,0,0,0,0,255
53022,61349,leaf8,1501867420215000000,100000000,21,749776.0,8486123.0,HundredGigE0/0/0/19,0,4312133.0,10,439543.0,0,0,0,0,255
53023,61350,leaf8,1501867420218000000,100000000,0,0.0,0.0,HundredGigE0/0/0/20,0,0.0,0,0.0,0,0,0,0,255
53024,61351,leaf8,1501867420220000000,100000000,0,0.0,0.0,HundredGigE0/0/0/21,0,0.0,0,0.0,0,0,0,0,255
53025,61352,leaf8,1501867420223000000,100000000,0,0.0,0.0,HundredGigE0/0/0/22,0,0.0,0,0.0,0,0,0,0,255
53026,61353,leaf8,1501867420225000000,100000000,0,0.0,0.0,HundredGigE0/0/0/23,0,0.0,0,0.0,0,0,0,0,255
53027,61354,leaf8,1501867420227000000,100000000,0,0.0,0.0,HundredGigE0/0/0/24,0,0.0,0,0.0,0,0,0,0,255
53028,61355,leaf8,1501867420229000000,100000000,0,0.0,0.0,HundredGigE0/0/0/25,0,0.0,0,0.0,0,0,0,0,255
53029,61356,leaf8,1501867420232000000,100000000,0,339.0,178.0,HundredGigE0/0/0/26,0,95425.0,0,2765.0,0,0,0,0,255
53030,61357,leaf8,1501867420234000000,100000000,0,0.0,0.0,HundredGigE0/0/0/27,0,0.0,0,0.0,0,0,0,0,255
53031,61358,leaf8,1501867420236000000,100000000,0,0.0,0.0,HundredGigE0/0/0/28,0,0.0,0,0.0,0,0,0,0,255
53032,61359,leaf8,1501867420239000000,100000000,0,0.0,0.0,HundredGigE0/0/0/29,0,0.0,0,0.0,0,0,0,0,255
53033,61360,leaf8,1501867420241000000,100000000,187,6502288.0,73651314.0,HundredGigE0/0/0/30,0,93777985.0,239,8130591.0,0,0,0,0,255
53034,61361,leaf8,1501867420243000000,100000000,221,7734296.0,86823731.0,HundredGigE0/0/0/31,0,88247738.0,225,7681028.0,0,0,0,0,255
