,Unnamed: 0,Producer,time,bandwidth,input-load,input-packet-rate,input-data-rate,interface-name,load-interval,output-data-rate,output-load,output-packet-rate,peak-input-data-rate,peak-input-packet-rate,peak-output-data-rate,peak-output-packet-rate,reliability
16000,24323,dr01,1501867130871000000.000000000,100000000,0,0,0,HundredGigE0/0/0/24,0,0,0,0,0,0,0,0,255
16001,24324,dr01,1501867130873000000.000000000,100000000,0,0,0,HundredGigE0/0/0/25,0,0,0,0,0,0,0,0,255
16002,24325,dr01,1501867130876000000.000000000,100000000,0,0,0,HundredGigE0/0/0/26,0,0,0,0,0,0,0,0,255
16003,24326,dr01,1501867130878000000.000000000,100000000,0,0,0,HundredGigE0/0/0/27,0,0,0,0,0,0,0,0,255
16004,24327,dr01,1501867130881000000.000000000,100000000,0,0,0,HundredGigE0/0/0/28,0,0,0,0,0,0,0,0,255
16005,24328,dr01,1501867130883000000.000000000,100000000,0,0,0,HundredGigE0/0/0/29,0,0,0,0,0,0,0,0,255
16006,24329,dr01,1501867130886000000.000000000,100000000,0,0,0,HundredGigE0/0/0/30,0,0,0,0,0,0,0,0,255
16007,24330,dr01,1501867130889000000.000000000,100000000,0,0,0,HundredGigE0/0/0/31,0,0,0,0,0,0,0,0,255
16008,24331,dr01,1501867130891000000.000000000,100000000,0,1,0,HundredGigE0/0/0/32,0,77055418,196,6891617,0,0,0,0,255
16009,24332,dr01,1501867130894000000.000000000,100000000,250,8560218,98290475,HundredGigE0/0/0/33,0,88558837,225,7763583,0,0,0,0,255
16010,24333,dr01,1501867130896000000.000000000,40000000,0,0,0,FortyGigE0/0/0/12,0,0,0,0,0,0,0,0,255
16011,24334,dr01,1501867130899000000.000000000,40000000,0,0,0,FortyGigE0/0/0/14,0,0,0,0,0,0,0,0,255
16012,24335,dr03,1501867131523000000.000000000,80000000,130,1951720,40913477,Bundle-Ether2,9,42770513,136,2195030,0,0,0,0,255
16013,24336,dr03,1501867131525000000.000000000,0,0,0,0,Null0,9,0,0,0,0,0,0,0,255
16014,24337,dr03,1501867131526000000.000000000,80000000,118,1837063,37299449,Bundle-Ether1,9,36551704,116,1919822,0,0,0,0,255
16015,24338,dr03,1501867131529000000.000000000,1000000,0,9,10,MgmtEth0/RP0/CPU0/0,9,15,0,7,0,0,0,0,255
16016,24339,dr03,1501867131531000000.000000000,1000000,0,0,0,MgmtEth0/RP1/CPU0/0,9,0,0,0,0,0,0,0,255
16017,24340,dr03,1501867131534000000.000000000,100000000,0,1,0,HundredGigE0/1/0/0,9,359,0,679,0,0,0,0,255
16018,24341,dr03,1501867131536000000.000000000,100000000,0,0,0,HundredGigE0/1/0/35,9,0,0,0,0,0,0,0,255
16019,24342,dr03,1501867131539000000.000000000,100000000,73,1410663,28663992,HundredGigE0/1/0/34,9,16044226,40,1042389,0,0,0,0,255
16020,24343,dr03,1501867131541000000.000000000,100000000,0,331,22607,HundredGigE0/1/0/1,9,87,0,165,0,0,0,0,255
16021,24344,dr03,1501867131543000000.000000000,100000000,0,664,46187,HundredGigE0/1/0/2,9,174,0,331,0,0,0,0,255
16022,24345,dr03,1501867131546000000.000000000,100000000,0,658,45728,HundredGigE0/1/0/3,9,171,0,325,0,0,0,0,255
16023,24346,dr03,1501867131548000000.000000000,100000000,0,0,0,HundredGigE0/1/0/4,9,0,0,0,0,0,0,0,255
